Title,Author,Year,Publisher,Genre,Series,Format,Pages,ISBN,Edition,Printing,Value,Rarity,Rating,Condition,Summary,Signed,Status
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch (Illustrated)",Terry Pratchett & Neil Gaiman,1990,Gollancz,Fantasy/Humor,,Hardcover,384,978-1-4732-2782-8,Illustrated Limited Edition,First Printing 2019,$350,Uncommon; Illustrated Limited Edition,9.2,Very Fine | Very Fine,A comedic fantasy about an angel and a demon teaming up to prevent the apocalypse when the Antichrist is mistakenly misplaced and the End Times begin unfolding.,Signed by Paul Kidby (Illustrator),Own
Grace Given: The Mythology of Elden Ring,"Geoff ""SmoughTown"" Truscott",2025,"Tune & Fairweather, Dublin, Ireland",Video Game Lore / Fantasy Art / Pop Culture,,Hardcover with slipcase,0,978-1-916740-09-9,First Edition,First Printing (2025),$125,"Uncommon; high initial demand among Elden Ring fans, limited print run from a specialty publisher",0,New | Mint (As New); hardcover; complete with original slipcase,"An in-depth, richly illustrated exploration of the mythology and lore of Elden Ring. Written by lore analyst Geoff ""SmoughTown"" Truscott, with artwork by Chris Lewis Lee, Elliott Wells, MenasLG, and Shimhaq, and an introduction by Quelaag. Produced by Tune & Fairweather as a finely bound, illustrated collector's edition with slipcase.",,Own
Gray Mountain,John Grisham,2014,Doubleday,Fiction,,Hardcover,368,038553714X,First Edition,1st Printing,$6.00,Common; a bestselling title with abundant surviving copies,70,"Near Fine: light wear, hasDJ | dust jacket Very Good: light-moderate wear",Legal thriller following a downsized Wall Street lawyer who takes a job at an Appalachian legal aid clinic and uncovers the human cost of the coal industry.,No,Own
H.M.S. Surprise,Patrick O'Brian,1973,"W. W. Norton & Company, New York",Historical Fiction / Nautical Fiction / Napoleonic Wars,"Aubrey-Maturin, Book 3",Paperback,379,0-393-30761-1,Norton Paperback Edition,1991 Norton paperback printing (number line to 6),$6,"Common; widely printed installment in a major historical fiction series, not scarce",8.88,"Good, noDJ | Good; trade paperback, no dust jacket as issued","Third novel in the Aubrey-Maturin series, following Captain Jack Aubrey and Stephen Maturin on a prolonged voyage to the Malay Peninsula aboard the frigate Surprise, culminating in a desperate defense against a superior French squadron threatening the East India Company's China Fleet.",,Own
H.M.S. Surprise,Patrick O'Brian,1973,"W. W. Norton & Company, New York",Historical Fiction / Nautical Fiction / Napoleonic Wars,"Aubrey-Maturin, Book 3",Hardcover,,0-393-03703-7,Norton Uniform Edition,"First Norton Uniform Edition, 1994 (number line to 5)",$20,"Uncommon; Norton Uniform Edition hardcover, more collectible than the mass-market paperback, but not scarce",8.88,"Near Fine, hasDJ | Near Fine book and dust jacket","Third novel in the Aubrey-Maturin series, following Captain Jack Aubrey and Stephen Maturin on a prolonged voyage to the Malay Peninsula aboard the frigate Surprise, culminating in a desperate defense against a superior French squadron threatening the East India Company's China Fleet. Second copy, distinct from the previously catalogued Norton mass-market paperback edition.",,Own
H.P. Lovecraft: The Complete Fiction,H.P. Lovecraft,2011,"Barnes & Noble, Inc., New York",Horror / Weird Fiction / Science Fiction,Barnes & Noble Leatherbound Classics,Hardcover,1098,9781435122963,2nd (Barnes & Noble Leatherbound Classics),,$20,"Common; mass-produced leatherbound collectible, widely available, not scarce",8.72,"Near Fine, noDJ | Near Fine; bonded leather binding, gilt edges, no dust jacket as issued","Omnibus collecting all of H.P. Lovecraft's fiction in a single volume, including 'The Call of Cthulhu,' 'At the Mountains of Madness,' and 'The Shadow over Innsmouth,' with an introduction by S.T. Joshi and cover/endpaper illustrations by Sven Geier and John Coulthart.",,Own
Hannibal Rising,Thomas Harris,2006,Delacorte Press,Fiction,Hannibal Lecter,Hardcover,323,0385339410,First Edition,1st Printing,$12.00,Common; a bestselling title with abundant surviving copies,78,"Near Fine: light wear, hasDJ, protectedDJ","Prequel to Harris's Hannibal Lecter novels, tracing young Hannibal's transformation from a traumatized war orphan in post-World War II Europe into the brilliant, remorseless predator of the later books.",No,Own
"Heretics: The Creation of Christianity, from the Gnostics to the Modern Church",Jonathan Wright,2011,"Houghton Mifflin Harcourt, New York",History / Religion / Christianity,,Hardcover with dust jacket,352,978-0-15-101387-6,Book Club Edition,Book Club Edition,$5,"Common; book club edition, lower collector value than trade first",7.68,"Great condition, shelf worn dust jacket | hasDJ","History of dissent and heresy within Christianity, from early Gnostics through the Reformation to the modern Church",,Own
Hornblower and the Atropos,C. S. Forester,1953,Back Bay Books,Fiction,Horatio Hornblower,Paperback,342,0316289299,,20th Printing,$7.00,Common; a long-running classic series title with abundant surviving copies,84,"Good: moderate wear, no dust jacket applicable (paperback)","Fifth novel in the chronological Hornblower saga, following Captain Hornblower's command of the Atropos through Nelson's funeral procession and a treasure-recovery mission in the Mediterranean.",No,Own
Hornblower and the Hotspur,C. S. Forester,1962,Back Bay Books,Fiction,Horatio Hornblower,Paperback,394,0316290467,,5th Printing,$7.00,Common; a long-running classic series title with abundant surviving copies,86,"Good: moderate wear, no dust jacket applicable (paperback)","Third novel in the chronological Hornblower saga, following Hornblower's command of the Hotspur on a reconnaissance mission off the French coast as the Napoleonic Wars erupt.",No,Own
House of Earth and Blood,Sarah J. Maas,2020,"Bloomsbury Publishing, New York",Fantasy / Romance / Urban Fantasy,"Crescent City, Book 1",Paperback,816,978-1-63557-702-0,Paperback Edition,"First Paperback Printing, 2021 (number line to 3)",$9,"Common; mass-market bestseller, widely printed, not scarce",8.90,"Fine, noDJ | Fine; trade paperback, no dust jacket as issued","First novel in Sarah J. Maas's adult Crescent City series, following half-Fae, half-human Bryce Quinlan and fallen angel Hunt Athalar as they investigate a brutal murder and uncover a demonic conspiracy threatening the city of Lunathion.",,Own
"I, Strahd",P.N. Elrod,1993,TSR,Fantasy/Horror,Ravenloft,Hardcover,320,1-56076-670-9,First,First,$35.00,Uncommon,8.2,"Near Fine, hasDJ","The memoirs of the vampire Count Strahd von Zarovich, lord of Barovia, recounting his transformation from nobleman to undead and the tragic events that led to his cursed existence in the Ravenloft realm.",,Pending Add
In Legend Born,Laura Resnick,1998,"Tor Books (Tom Doherty Associates, Inc.), New York",Fantasy / Epic Fantasy,"Chronicles of Sirkara / Silerian Trilogy, Book 1",Hardcover with dust jacket,0,0-312-89055-9,First Edition,"First Edition, August 1998",$12,"Uncommon; author's fantasy debut, hardcover first edition less common than the mass-market paperback",7.82,"Shelf worn dust jacket, otherwise near perfect | hasDJ",Debut fantasy novel following five unlikely allies who unite to free the oppressed nation of Sileria from a thousand years of foreign conquest,,Own
In the Devil's Snare: The Salem Witchcraft Crisis of 1692,Mary Beth Norton,2002,"Alfred A. Knopf, New York",History / Colonial America / Witchcraft,,Hardcover with dust jacket,0,,First Edition,First Printing,$20,"Common; well-regarded academic history, not scarce",,"Very Good, hasDJ | Minor shelf wear; dust jacket present with light wear","A scholarly reexamination of the 1692 Salem witchcraft crisis by historian Mary Beth Norton, situating the trials within the context of ongoing frontier warfare between English settlers and Wabanaki Indians. Widely praised as a major contribution to Salem witchcraft historiography.",,Own
Inferno: Illustrated Edition,Dante Alighieri,2018,"Fall River Press (Sterling Publishing Co., Inc.), New York",Epic Poetry / Classic Literature,The Divine Comedy,Hardcover,296,978-1-4351-6686-8,Compilation Edition,First Printing,$12,"Common; widely available gift edition, not scarce",7.90,Basically brand new,"First part of Dante's Divine Comedy, following the poet's journey through the nine circles of Hell guided by Virgil, illustrated with over seventy Gustave Doré engravings",,Own
Issola,Steven Brust,2001,Tor Books,Fantasy,Vlad Taltos,Hardcover,255,0-312-85568-3,First Edition,First Printing,$8.00,Common,7.8,Very Good,"Ninth novel in the Vlad Taltos series. Vlad searches for his missing friends Morrolan and Aliera, leading him into conflict with the mysterious Jenoine and introducing the character Teldra.",,Pending Add
It,Stephen King,1986,Viking Press,Horror,,Hardcover,1138,978-0-670-81302-5,First Edition,First Printing,$130,Uncommon; highly collectible modern horror King first edition,8,"Very Fine, hasDJ | Very Fine (VF): Excellent condition; light shelf wear on dust jacket","Seven members of the Losers' Club confront a shape-shifting evil in the town of Derry, Maine, decades apart.",No,Own
James Bond and Moonraker,Christopher Wood,0,"Jove Publications, Inc., New York, NY",Spy Fiction / Film Tie-In,James Bond,Paperback,0,,First Jove edition,Jul-79,$8,Common; collectible for James Bond completists and fans of film novelizations,7.6,"Very Good | Very Good (VG); paperback; light shelf wear; tight binding, clean pages","Novelization of the 1979 James Bond film Moonraker, adapted by Christopher Wood from his screenplay. Expands on the cinematic story with additional details, providing a companion piece to both the movie and the Ian Fleming original. First Jove paperback edition.",,Own
Journey of Souls: Case Studies of Life Between Lives,Michael Newton,1994,Llewellyn Publications,New Age,,Paperback,278,1567184855,Fifth Revised Edition,49th Printing,$8.00,Common; still in print with an extremely high number of printings and surviving copies,86,"Fine: near new condition, no dust jacket applicable (paperback)",Newton's collection of 29 hypnotic regression case studies exploring what subjects reported experiencing in the spirit world between physical lifetimes.,No,Own
Kiss the Girls,James Patterson,1995,"Little, Brown and Company, Boston",Thriller / Mystery,"Alex Cross, Book 2",Hardcover with dust jacket,464,0-316-69370-7,First Edition,First Printing,$35,"Uncommon; early Patterson bestseller, true firsts increasingly collectible",8.14,"Amazing shape, only slightly shelf worn dust jacket | hasDJ","Second Alex Cross novel, in which the Washington D.C. psychologist-detective hunts two competing serial killers after his niece is abducted",,Own
Kydd,Julian Stockwin,2001,Scribner,Fiction,Kydd Sea Adventures,Hardcover,,0743214587,First Edition,1st Printing,$5.00,Common; a long-running series debut with abundant surviving copies,78,"Near Fine: light wear, hasDJ, protectedDJ | ex-library copy with library markings","First novel in Stockwin's Thomas Kydd naval adventure series, following a young wig-maker pressed into Royal Navy service and his rise through the ranks during the age of fighting sail.",No,Own
Left for Dead,Sean Parnell,2021,William Morrow,Fiction,Eric Steele,Hardcover,384,0062986619,First Edition,1st Printing,$8.00,Common; a widely distributed first-edition title with abundant surviving copies,84,"Fine: near new condition, hasDJ, protectedDJ","Fourth novel in Parnell's Eric Steele series, following the Program operative as he battles a renegade group of bioterrorists armed with a devastating engineered virus.",No,Own
Legacy of the Drow Collector's Edition,R.A. Salvatore,2001,"Wizards of the Coast, Renton, WA",Fantasy / Epic Fantasy,"Forgotten Realms: Legacy of the Drow, Legend of Drizzt #7-10",Hardcover,1077,0-7869-1800-4,First Edition,"First Printing, January 2001 (full number line to 1)",$10,"Common; widely printed omnibus, not scarce without dust jacket",8.68,"Fine, noDJ | Fine; no dust jacket if one was issued","Omnibus collecting four New York Times bestselling Forgotten Realms novels — The Legacy, Starless Night, Siege of Darkness, and Passage to Dawn — following dark elf ranger Drizzt Do'Urden as the Spider Queen Lolth moves against him. Cover art by Brom.",,Own
Legends & Lattes,Travis Baldree,2022,"Tor Books (Tom Doherty Associates), New York, NY",Fantasy,,Paperback,0,978-1-250-88608-8,First Edition,2022,$15,Common; widely available but in high demand among cozy fantasy readers,9,Near Fine | Like New; paperback; minimal to no wear,"A cozy fantasy novel subtitled 'A Novel of High Fantasy and Low Stakes.' It follows Viv, an orc barbarian, who decides to hang up her sword and open the first coffee shop in the city of Thune. Heartwarming, humorous, and filled with charming characters.",,Own
Les Misérables (Two-Volume Set),Victor Hugo,1938,"The Heritage Press, New York",Classic Literature / Historical Fiction,,Hardcover (Two-Volume Set),1200,,"Heritage Press Edition (Illustrated by Lynd Ward, with Introduction by André Maurois)",1938 George Macy Companies issue,$60,Uncommon; collectible as Heritage Press Lynd Ward-illustrated set,9.5,Very Fine | Very Fine (VF): Hardcover two-volume set complete with slipcases; minimal wear,"Victor Hugo's monumental novel of justice, redemption, and revolution in 19th-century France, presented in a two-volume Heritage Press edition. Features the authorized Lascelles Wraxall translation, a new introduction by André Maurois, and illustrations by Lynd Ward.",No,Own
"Les Misérables, Volumes I, II & III",Victor Hugo,1938,The Heritage Press,Classic Literature,Les Misérables (Heritage Press),Hardcover,,,"Heritage Press Edition (trans. Lascelles Wraxall, intro. André Maurois)",1938 printing,$50,"Uncommon; desirable Lynd Ward-illustrated Heritage Press edition, more valuable as a complete matched set",,"Fine: near-perfect condition, housed in original slipcase (also near-perfect)","First of two Heritage Press volumes collecting Victor Hugo's Les Misérables, in the Lascelles Wraxall translation authorized by the author, with a new introduction by André Maurois and illustrations by Lynd Ward. Volumes I, II & III of the novel are bound together in this volume, housed in its original slipcase.",,
"Les Misérables, Volumes IV & V",Victor Hugo,1938,The Heritage Press,Classic Literature,Les Misérables (Heritage Press),Hardcover,,,"Heritage Press Edition (trans. Lascelles Wraxall, intro. André Maurois)",1938 printing,,"Uncommon; desirable Lynd Ward-illustrated Heritage Press edition, more valuable as a complete matched set",,"Fine: near-perfect condition, housed in original slipcase (also near-perfect)","Second of two Heritage Press volumes collecting Victor Hugo's Les Misérables, in the Lascelles Wraxall translation authorized by the author, with a new introduction by André Maurois and illustrations by Lynd Ward. Volumes IV & V of the novel are bound together in this volume, housed in its original slipcase.",,
Lieutenant Hornblower,C. S. Forester,1952,Back Bay Books,Fiction,Horatio Hornblower,Paperback,306,0316290637,,10th Printing,$6.00,Common; a long-running classic series title with abundant surviving copies,83,"Good: moderate wear, no dust jacket applicable (paperback)","Second novel in the chronological Hornblower saga, told largely through Lieutenant Bush's perspective, following Hornblower's service aboard a ship of the line sent to clear Spanish privateers from the Caribbean.",No,Own
Live Wire,Harlan Coben,2012,Dutton,Mystery/Thriller,Myron Bolitar,Paperback,352,978-0-451-23988-4,First Dutton paperback printing,2017,,Common; mass market bestseller with abundant used copies in circulation,8.1,Good | noDJ: paperback with wear consistent with reading copy,"Sports agent Myron Bolitar investigates an anonymous Facebook post questioning the paternity of a pregnant client's unborn child, a search that leads him to his estranged brother and the family secrets that tore them apart. Tenth entry in Harlan Coben's Myron Bolitar series.",No,
Lost Languages: The Enigma of the World's Undeciphered Scripts,Andrew Robinson,2002,McGraw-Hill,Reference,,Hardcover,343,0071357432,First Edition,1st Printing,$18.00,Common; a widely distributed reference title with plentiful surviving Fine copies,82,"Fine: near new condition, hasDJ, protectedDJ","Robinson surveys the history and ongoing efforts to decipher the world's undeciphered writing systems, covering both successful decipherments like Egyptian hieroglyphs and Linear B and scripts that remain unsolved.",No,Own
Lucile,Owen Meredith (Edward Robert Bulwer-Lytton),1883,Thomas Y. Crowell & Co.,Poetry / Victorian Literature,,Hardcover,0,,Illustrated by F.T. Merrill; engraved by George T. Andrew,1883 printing,$50,Uncommon; collectible illustrated Victorian edition,0,"Very Good | Very Good (VG); hardcover; light wear, solid binding, clean text block","An 1883 illustrated edition of Owen Meredith's narrative poem 'Lucile,' featuring artwork by F.T. Merrill and engravings by George T. Andrew, published by Thomas Y. Crowell & Co. in a decorative hardcover binding.",,Own
"Man, Myth & Magic, Vol. 1: Aberdeen Witches to Astrology",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,$275,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 1 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from Aberdeen Witches.",,
"Man, Myth & Magic, Vol. 10: Hercules to Immortality",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 10 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from Hercules.",,
"Man, Myth & Magic, Vol. 11: Imp to Kali",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 11 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from Imp.",,
"Man, Myth & Magic, Vol. 12: Kamikaze to Magpie and Rook",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 12 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from Kamikaze.",,
"Man, Myth & Magic, Vol. 13: Mahatmas to Meteors",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 13 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from Mahatmas.",,
"Man, Myth & Magic, Vol. 14: Mexico and Central America to New Guinea",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 14 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from Mexico and Central America.",,
"Man, Myth & Magic, Vol. 15: New Religious Movements to Palm",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 15 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from New Religious Movements.",,
"Man, Myth & Magic, Vol. 16: Palmistry to Priests",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 16 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from Palmistry.",,
"Man, Myth & Magic, Vol. 17: Ritual Magic to Seven",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 17 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from Ritual Magic.",,
"Man, Myth & Magic, Vol. 18: Prince to Ritual",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 18 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from Prince.",,
"Man, Myth & Magic, Vol. 19: Sex to Spontaneous Psi Experiences",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 19 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from Sex.",,
"Man, Myth & Magic, Vol. 2: Atavism to Body Astrology",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 2 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from Atavism.",,
"Man, Myth & Magic, Vol. 20: Spring to Theosophy",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 20 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from Spring.",,
"Man, Myth & Magic, Vol. 21: Theseus to Virgin Births",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 21 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from Theseus.",,
"Man, Myth & Magic, Vol. 22: Virgo to Zombies",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 22 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from Virgo.",,
"Man, Myth & Magic, Vol. 23: Zoro to Zurvan",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 23 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from Zoro.",,
"Man, Myth & Magic, Vol. 24: Frontiers of Belief / Special Contents / Index",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,160,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 24, the final supplementary volume, containing the Frontiers of Belief section, bibliographies, and full index for the set.",,
"Man, Myth & Magic, Vol. 3: Boehme, Jacob to Cayce, Edgar",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 3 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from Boehme, Jacob.",,
"Man, Myth & Magic, Vol. 4: Celts to Cult of the Dead",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 4 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from Celts.",,
"Man, Myth & Magic, Vol. 5: Cure of Arts to Drugs",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 5 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from Cure of Arts.",,
"Man, Myth & Magic, Vol. 6: Druids to European Witch Persecutions",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 6 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from Druids.",,
"Man, Myth & Magic, Vol. 7: Evil to Flood",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 7 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from Evil.",,
"Man, Myth & Magic, Vol. 8: Fludd, Robert to Golem",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 8 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from Fludd, Robert.",,
"Man, Myth & Magic, Vol. 9: Good Shepherd to Herbs",Richard Cavendish (ed.),1970,BPC Publishing Ltd.,Reference/Occult,"Man, Myth & Magic",Hardcover,156,,First Edition,,,"Uncommon; sought after complete in matched sets, individual volumes plentiful",,"Very Good | noDJ: minor shelf wear, no dust jacket issued for this binding","Volume 9 of the 24-volume Man, Myth & Magic encyclopedia, covering entries alphabetically from Good Shepherd.",,
Maps of the Ancient Sea Kings: Evidence of Advanced Civilization in the Ice Age,Charles H. Hapgood,1966,Adventures Unlimited Press,Archaeology,,Paperback,316,0932813429,Revised Edition,,$15.00,"Common; still in print with a large, active readership and abundant surviving copies",81,"Near Fine: light wear, no dust jacket applicable (paperback)","Hapgood's classic study argues that ancient maps such as the Piri Reis map show evidence of an advanced, worldwide civilization's cartographic activity predating ancient Egypt.",No,Own
Marmion,Sir Walter Scott,1885,James R. Osgood and Company,Poetry / Historical Romance,,Hardcover,0,,Illustrated later edition,1885 printing,$80,Uncommon; collectible illustrated 19th-century edition,0,"Very Fine, noDJ | Very Fine (VF); hardcover; no dust jacket; decorative binding","An 1885 illustrated edition of Sir Walter Scott's narrative poem 'Marmion,' presented in a decorative hardcover binding typical of the era, published by James R. Osgood and Company.",,Own
Mary Queen of Scots,Antonia Fraser,1969,Weidenfeld & Nicolson (First American Edition: Random House),Biography / History,,Hardcover,0,,First American Edition,Eighth printing (April 1970),$15,Common; notable biography of Mary Stuart by a respected historian,7.98,"Very Fine, protectedDJ | Very Fine (VF) hardcover; worn dust jacket; plastic protected","Antonia Fraser's acclaimed biography of Mary Stuart, Queen of Scots, exploring her tumultuous life, political intrigue, and tragic execution.",,Own
Memnoch the Devil,Anne Rice,1995,"Ballantine Books, New York",Horror / Gothic Fiction / Vampire Fiction,"The Vampire Chronicles, Book 5",Paperback,434,0-345-38940-9,First Ballantine Trade Paperback Edition,August 1996,$5,"Common; widely printed bestselling entry in a major horror series, not scarce",7.52,"Good, noDJ | Good; trade paperback, no dust jacket as issued","Fifth novel in The Vampire Chronicles, in which Lestat is spirited away by Memnoch, a fallen angel claiming to be the Devil, on a journey through Heaven, Hell, and the history of creation, forcing Lestat to confront the nature of good, evil, and God. Includes reprinted poems by Stan Rice.",,Own
Minky Woodcock: The Girl Who Electrified Tesla,Cynthia von Buhler,2021,Titan Comics,Graphic Novel / Mystery / Historical Fiction,Minky Woodcock,Hardcover,0,9781785861234,First Edition,First printing (October 2021),$20,Uncommon; recent publication with niche collector interest,6.96,Very Fine | Very Fine (VF); hardcover; excellent condition,"A historical mystery graphic novel blending fact and fiction, following Minky Woodcock as she investigates strange events surrounding Nikola Tesla's death in 1943.",,Own
Minky Woodcock: The Girl Who Handcuffed Houdini,Cynthia von Buhler,2018,Titan Comics,Graphic Novel / Mystery / Historical Fiction,Minky Woodcock,Hardcover,0,9781785861234,First Edition,First printing (July 2018),$20,Uncommon; recent publication with niche collector interest,6.84,Very Fine | Very Fine (VF); hardcover; excellent condition,"A historical mystery graphic novel combining fact and fiction, following Minky Woodcock as she investigates the mysterious death of Harry Houdini in 1926.",,Own
"More Twisted: Collected Stories, Vol. II",Jeffery Deaver,2006,Simon & Schuster,Fiction,,Hardcover,448,1416541187,First Edition,1st Printing,$6.00,Common; a widely distributed first-edition title with abundant surviving copies,77,"Good: moderate wear, hasDJ, protectedDJ","Deaver's second collection of short suspense fiction, gathering fifteen previously published stories alongside a new original Lincoln Rhyme mystery.",No,Own
